priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,duration
Major,Short,thiru_mg,0.0,1.791759469228055,6.309918278226516,31,0.0,11.74054728717735
Minor,Short,Other,0.0,1.0986122886681098,5.030437921392435,26,0.0,12.391843526974702
Minor,Short,Other,0.0,1.791759469228055,4.955827057601261,20,0.6931471805599453,10.773366305764581
Major,Short,Other,0.0,1.3862943611198906,5.298317366548036,54,0.0,12.410470266279509
Blocker,Short,Other,0.0,2.6390573296152584,8.044626279767337,84,0.6931471805599453,7.255427572060465
Major,Short,Other,0.0,1.0986122886681098,6.1463292576688975,50,0.0,7.758932910457446
Major,Short,cutting,0.0,1.3862943611198906,4.30406509320417,45,0.0,5.4562444069415355
Major,Short,Other,0.0,2.833213344056216,8.021256180143997,50,0.0,9.349237919130282
Major,Short,thiru_mg,0.0,1.3862943611198906,5.303304908059076,41,0.0,7.202261476536639
Major,Short,cutting,0.0,1.6094379124341003,4.941642422609304,47,0.0,8.449173289298182
Major,Short,cutting,0.0,2.6390573296152584,4.219507705176107,44,0.0,9.235105076276827
Major,Short,Other,0.0,0.6931471805599453,4.219507705176107,68,0.0,7.74652352974223
Major,Short,massie,0.0,1.791759469228055,6.79794041297493,74,0.0,9.06573394358831
Major,Short,thiru_mg,0.0,0.6931471805599453,6.210600077024653,45,0.0,6.3709177887651744
Minor,Short,thiru_mg,0.0,0.6931471805599453,4.174387269895637,36,0.0,6.592131263356319
Minor,Short,thiru_mg,0.0,0.6931471805599453,5.135798437050262,60,0.0,6.850759493094017
Major,Short,thiru_mg,0.0,1.6094379124341003,5.10594547390058,38,0.0,7.355928356707624
Blocker,Short,scott_carey,0.0,2.3978952727983707,4.189654742026425,34,0.0,9.074705162165113
Major,Short,Other,0.0,1.3862943611198906,6.82001636467413,94,0.0,5.325362169916962
Major,Short,thiru_mg,0.0,0.6931471805599453,5.662960480135946,52,0.0,5.109113984219406
